row_id,claim,probe_level,question,human_verdict,human_note
r0001,Improved CSAT from 78% to 92% in four quarters by redesigning the escalation workflow,OPERATIONAL,What specific actions did you take in Zendesk to improve CSAT?,,
r0002,Carrying a quota of $1.2M ARR.,OPERATIONAL,What specific actions did you take in your CRM each day to manage your pipeline?,,
r0003,Grew activation from 41% to 63% over two quarters by rebuilding the first-run flow,OPERATIONAL,What specific actions did you take in the product analytics dashboard each week?,,
r0004,"HR generalist handling payroll, onboarding and exit formalities for two business units.",OUTCOME,How did you measure success in managing payroll and onboarding?,,
r0005,Wrote the reconciliation service in Java against a Postgres database.,DECISION,What factors led you to choose Java for the core logic?,,
r0006,Consistently at 110% of target with a conversion rate of 22% from qualified leads.,VALIDATION,How long did you maintain the 110% target achievement?,,
r0007,Managed a team of 45 agents and consistently exceeded all CSAT targets,VALIDATION,How long did you manage the team of agents?,,
r0008,Ran the chat support queue.,DECISION,What factors did you weigh when deciding how to prioritize chat support tickets during high-demand periods?,,
r0009,Coached four inside sales reps on closing technique,OUTCOME,How did you capture the jump in conversion rates from 15% to 25%?,,
r0010,Raised activation from 34% to 46% by rebuilding user onboarding after twenty user interviews.,INCIDENT,Describe a specific time during the rebuild when you faced a major setback.,,
r0011,Managed a team of 35 agents across 4 pods with 4 senior associates reporting to me,VALIDATION,How long did you manage the team of 35 agents?,,
r0012,"Led campus hiring, sourcing, interview coordination and joinee onboarding for 120 offers.",OUTCOME,What impact did the campus hiring have on your team's overall performance metrics?,,
r0013,Led the escalation desk for a SaaS product.,INCIDENT,Describe a specific P1 issue that took longer than 2 hours to resolve.,,
r0014,Reduced AHT from 480 seconds to 430 seconds by rewriting the call opening scripts,OPERATIONAL,How did you rewrite the call opening scripts to reduce AHT?,,
r0015,Drove a 30% improvement in CSAT scores across the entire process,INCIDENT,Describe a specific incident when a CSAT score dropped unexpectedly. What did you do?,,
r0016,Managed a support team of 12 covering chat support and email support for an e-commerce platform.,VALIDATION,How long did you manage the 12-member support team?,,
r0017,Owned the recruiting funnel from sourcing through offer rollout.,OPERATIONAL,What specific tasks did you perform in the recruiting software daily?,,
r0018,"Ran daily stand-ups, tracked deliverables against milestones and presented to stakeholders every week.",DECISION,What factors did you consider when deciding how to address the technical delays with stakeholders?,,
r0019,Led the escalation desk for a SaaS product.,VALIDATION,How many escalations did you handle weekly while leading the escalation desk?,,
r0020,Cut p95 latency from 900ms to 180ms.,OUTCOME,How did you measure the improvement in latency from 900ms to 180ms?,,
r0021,"Ran daily stand-ups, tracked deliverables against milestones and presented to stakeholders every week.",VALIDATION,How many team members attended the daily stand-ups you ran?,,
r0022,"Ran 18 experiments against a single north star metric, 5 of which shipped",OPERATIONAL,"Which system did you use to track experiment results, and what actions did you take inside it daily?",,
r0023,Owned resolution time for P1 issues.,INCIDENT,Describe a specific P1 issue that took longer than expected to resolve. What happened?,,
r0024,Managed a team of 20 and improved process efficiency across the department over two years.,VALIDATION,How many people were in your team when you started managing?,,
r0025,"Handled vendor coordination, invoice follow-up and the daily MIS for the regional office.",DECISION,What factors did you consider when deciding on the temporary solution for the vendor delay?,,
r0026,Delivered a 30% improvement in AHT through advanced process optimisation,VALIDATION,What specific process changes led to the 30% AHT improvement?,,
r0027,Carrying a quota of $1.2M ARR.,OUTCOME,"What was the final ARR achieved, and how did you track progress towards the $1.2M goal?",,
r0028,Managed a team of 45 agents and consistently exceeded all CSAT targets,OPERATIONAL,"What system did you use to track CSAT, and what actions did you take based on the data?",,
r0029,Ran 40 user interviews to find the top three pain points before writing the PRD,OUTCOME,How did you measure the success of addressing the top three pain points?,,
r0030,Held SLA attainment at 97% across four queues by rebuilding the roster model,INCIDENT,Tell me about a week when SLA dropped below 97% and what you did.,,
r0031,Improved CSAT from 78% to 92% in four quarters by redesigning the escalation workflow,INCIDENT,Describe a time when the new escalation workflow failed and how you resolved it.,,
r0032,MBA graduate seeking opportunities with a growth-oriented organisation. Strong analytical and leadership abilities.,DECISION,What criteria did you use to decide which ideas to combine in your marketing plan?,,
r0033,Managed a team of 45 agents and consistently exceeded all CSAT targets,TRANSFER,How would you apply a focus on quality to achieve a 30% CSAT improvement across the whole process?,,
r0034,"Owned shrinkage and occupancy for a 150-seat process, reporting the numbers through the daily huddle.",INCIDENT,Describe a specific incident when shrinkage or occupancy numbers were unexpectedly high or low.,,
r0035,Drove a 30% improvement in CSAT scores across the entire process,VALIDATION,How did you measure the improvement in CSAT scores?,,
